case,clip,frame,split,top_points
Case-001,005,012,1,"[(152.40811476105597, 83.67099567099567), (189.89219930396396, 51.619387148798936)]"
Case-001,005,016,1,"[(151.86486715898477, 82.58450046685343)]"
Case-001,005,032,1,"[(154.852728970376, 82.85612426788897)]"
Case-001,005,036,1,"[(157.0257193786605, 80.13988625753332), (187.71920889567946, 54.064001358119)]"
Case-001,005,060,1,"[(154.03785756726936, 79.32501485442663)]"
Case-001,005,064,1,"[(151.0499957558781, 81.76962906374672)]"
Case-001,005,068,1,"[(146.1607673372379, 84.21424327306678)]"
Case-001,006,000,1,"[(153.49460996519815, 83.39937186996008), (197.76928953399548, 186.6164162634751)]"
Case-001,006,004,1,"[(149.4202529496647, 84.21424327306678), (198.040913335031, 190.41914947797298)]"
Case-001,006,008,1,"[(192.33681351328406, 195.8516254986843)]"
Case-001,006,012,1,"[(204.01663695781338, 209.97606315253364)]"
Case-001,006,016,1,"[(199.6706561412443, 205.35845853492913)]"
Case-001,006,020,1,"[(184.45972328325263, 186.88804006451062)]"
Case-001,006,024,1,"[(147.79051014345134, 85.84398607928017), (202.38689415160005, 188.78940667175948)]"
Case-001,006,028,1,"[(205.10313216195567, 189.33265427383063), (157.0257193786605, 82.85612426788897)]"
Case-001,006,032,1,"[(149.96350055173582, 85.84398607928017), (201.84364654952887, 191.77726848315083)]"
Case-001,006,036,1,"[(195.32467532467533, 190.41914947797298)]"
Case-001,006,052,1,"[(204.83150836092005, 194.22188269247096), (155.12435277141157, 85.84398607928017)]"
Case-001,006,056,1,"[(156.48247177658945, 84.21424327306678), (208.36261777438247, 188.24615906968847)]"
Case-001,006,060,1,"[(151.59324335794926, 88.5602240896359), (205.10313216195567, 192.86376368729304)]"
Case-001,006,080,1,"[(152.13649096002035, 83.67099567099567), (200.2139037433155, 185.5299210593328)]"
Case-001,006,084,1,"[(154.58110516934045, 79.5966386554622), (198.5841609371021, 185.25829725829723)]"
Case-001,006,088,1,"[(149.96350055173582, 83.12774806892455), (194.50980392156868, 186.34479246243944)]"
Case-001,006,092,1,"[(189.62057550292838, 191.23402088107966)]"
Case-001,006,096,1,"[(183.64485188014595, 195.03675409557763)]"
Case-001,006,100,1,"[(193.42330871742632, 200.19760631525332)]"
Case-001,006,104,1,"[(199.94227994227995, 191.23402088107966)]"
Case-001,006,108,1,"[(200.2139037433155, 184.98667345726162), (158.11221458280286, 80.68313385960441)]"
Case-001,006,112,1,"[(202.65851795263566, 188.24615906968847), (153.76623376623377, 82.58450046685343)]"
Case-001,006,116,1,"[(195.59629912571089, 193.13538748832866)]"
Case-001,006,120,1,"[(174.40964264493675, 176.83795942619463), (209.72073677956035, 204.00033952975127)]"
Case-001,006,128,1,"[(217.86945081062728, 205.63008233596466)]"
Case-001,007,000,1,"[(172.50827603768784, 69.27493421611068), (217.5978270095917, 67.10194380782616)]"
Case-001,007,004,1,"[(165.4460572107631, 68.73168661403957), (174.40964264493675, 67.10194380782616), (209.4491129785247, 67.64519140989728)]"
Case-001,007,008,1,"[(176.03938545115014, 65.2005772005772), (203.74501315677784, 69.0033104150751)]"
Case-001,007,012,1,"[(155.39597657244715, 69.81818181818181), (171.96502843561666, 69.0033104150751), (202.38689415160005, 74.707410236822), (220.58568882098294, 71.17630082335963)]"
Case-001,007,016,1,"[(167.61904761904762, 70.08980561921739), (204.2882607588491, 69.81818181818181)]"
Case-001,007,020,1,"[(173.05152363975895, 68.18843901196843), (180.92861386979038, 65.2005772005772), (212.43697478991592, 69.54655801714628)]"
Case-001,007,024,1,"[(173.59477124183007, 66.55869620575504), (217.5978270095917, 70.90467702232408)]"
Case-001,007,028,1,"[(171.4217808335455, 69.81818181818181), (214.60996519820057, 68.73168661403957)]"
Case-001,007,032,1,"[(173.59477124183007, 67.10194380782616), (213.2518461930227, 70.90467702232408)]"
Case-001,007,036,1,"[(168.70554282318992, 69.81818181818181), (211.89372718784483, 67.37356760886175)]"
Case-001,007,040,1,"[(169.52041422629654, 68.73168661403957), (203.20176555470675, 71.99117222646635), (222.48705542823188, 68.46006281300399)]"
Case-001,007,044,1,"[(155.12435277141157, 73.34929123164416), (169.24879042526103, 68.73168661403957), (177.66912825736352, 69.27493421611068), (207.27612257024023, 70.08980561921739), (224.11679823444524, 68.46006281300399)]"
Case-001,007,048,1,"[(172.50827603768784, 68.46006281300399), (179.8421186656481, 67.91681521093284), (211.62210338680924, 67.64519140989728)]"
Case-001,007,052,1,"[(175.496137849079, 68.46006281300399), (217.5978270095917, 70.63305322128852)]"
Case-001,007,056,1,"[(176.03938545115014, 68.18843901196843), (219.49919361684067, 67.64519140989728)]"
Case-001,007,060,1,"[(171.96502843561666, 69.27493421611068), (214.0667175961293, 71.71954842543079)]"
Case-001,007,064,1,"[(169.52041422629654, 71.17630082335963), (178.7556234615058, 66.28707240471948), (211.07885578473815, 70.36142942025297), (225.20329343858754, 66.55869620575504)]"
Case-001,007,068,1,"[(171.15015703250998, 66.8303200067906), (179.57049486461253, 64.11408199643493), (227.10466004583645, 64.11408199643493)]"
Case-001,007,072,1,"[(177.39750445632794, 64.3857057974705), (190.16382310499952, 60.58297258297258), (233.3520074696545, 60.039724980901454)]"
Case-001,007,076,1,"[(160.5568287921229, 69.0033104150751), (180.92861386979038, 65.2005772005772), (191.25031830914182, 60.58297258297258), (231.17901706137, 61.12622018504373)]"
Case-001,007,080,1,"[(165.71768101179867, 69.54655801714628), (182.55835667600374, 64.11408199643493)]"
Case-001,007,084,1,"[(174.40964264493675, 66.0154486036839), (184.18809948221715, 62.212715389185995), (225.20329343858754, 61.12622018504373)]"
Case-001,007,088,1,"[(185.8178422884305, 61.941091588150435), (226.0181648416942, 58.409982174688054)]"
Case-001,007,092,1,"[(183.3732280791105, 61.669467787114826)]"
Case-001,007,096,1,"[(160.82845259315846, 68.73168661403957), (183.3732280791105, 65.47220100161276), (230.6357694592988, 60.85459638400819)]"
Case-001,007,100,1,"[(172.23665223665222, 69.81818181818181), (183.10160427807477, 64.92895339954164), (224.93166963755192, 60.31134878193702)]"
Case-001,007,104,1,"[(159.74195738901625, 70.08980561921739), (171.96502843561666, 66.28707240471948), (182.82998047703927, 64.3857057974705), (224.66004583651636, 63.299210593328255)]"
Case-001,007,108,1,"[(160.5568287921229, 69.0033104150751), (183.10160427807477, 63.027586792292645)]"
Case-001,007,112,1,"[(180.11374246668365, 66.0154486036839), (216.782955606485, 63.84245819539937)]"
Case-001,007,116,1,"[(158.65546218487398, 70.90467702232408), (182.01510907393265, 63.84245819539937), (217.5978270095917, 60.58297258297258)]"
Case-001,007,120,1,"[(159.47033358798063, 68.46006281300399), (178.2123758594347, 67.37356760886175), (217.86945081062728, 67.10194380782616)]"
Case-001,007,124,1,"[(178.7556234615058, 65.2005772005772)]"
Case-001,007,128,1,"[(158.38383838383837, 66.0154486036839), (180.11374246668365, 63.84245819539937), (222.75867922926747, 64.3857057974705)]"
Case-001,009,000,1,"[(187.44758509464393, 95.07919531448945), (223.5735506323741, 68.73168661403957)]"
Case-001,009,004,1,"[(221.40056022408962, 65.2005772005772)]"
Case-001,009,008,1,"[(217.05457940752052, 65.47220100161276)]"
Case-001,009,012,1,"[(216.782955606485, 66.8303200067906)]"
Case-001,009,020,1,"[(198.31253713606654, 71.99117222646635)]"
Case-001,009,028,1,"[(174.13801884390116, 86.38723368135133), (226.56141244376542, 63.027586792292645)]"
Case-001,009,044,1,"[(182.28673287496815, 86.65885748238686), (230.3641456582633, 63.299210593328255)]"
Case-001,009,048,1,"[(179.8421186656481, 88.8318478906714), (229.82089805619214, 61.669467787114826)]"
Case-001,009,052,1,"[(179.2988710635769, 88.8318478906714), (230.90739326033443, 61.941091588150435)]"
Case-001,009,056,1,"[(179.57049486461253, 91.54808590102706), (224.93166963755192, 64.11408199643493)]"
Case-001,009,060,1,"[(235.79662167897462, 57.595110771581346)]"
Case-001,009,068,1,"[(176.85425685425685, 92.63458110516933), (228.73440285204995, 61.669467787114826)]"
Case-001,009,072,1,"[(218.4126984126984, 70.08980561921739), (237.15474068415247, 61.941091588150435)]"
Case-001,009,076,1,"[(179.02724726254132, 92.3629573041338), (228.4627790510143, 63.5708343943638)]"
Case-001,009,080,1,"[(217.05457940752052, 69.54655801714628), (232.26551226551217, 62.48433919022155)]"
Case-001,009,088,1,"[(220.58568882098294, 67.10194380782616)]"
Case-001,009,092,1,"[(177.12588065529238, 93.99270011034714), (216.782955606485, 70.63305322128852), (230.3641456582633, 65.74382480264836)]"
Case-001,009,096,1,"[(213.52346999405822, 75.52228163992869), (229.27765045412102, 64.3857057974705)]"
Case-001,009,100,1,"[(224.38842203548086, 71.71954842543079)]"
Case-001,009,104,1,"[(217.86945081062728, 70.08980561921739)]"
Case-001,009,112,1,"[(221.40056022408962, 69.81818181818181)]"
Case-001,009,120,1,"[(218.68432221373396, 70.90467702232408)]"
Case-001,009,124,1,"[(216.51133180544946, 69.81818181818181)]"
Case-001,009,128,1,"[(224.11679823444524, 74.707410236822)]"
Case-001,010,000,1,"[(201.0287751464222, 206.7165775401069)]"
Case-001,010,004,1,"[(175.22451404804343, 175.47984042101686), (194.50980392156868, 204.2719633307869)]"
Case-001,010,008,1,"[(184.18809948221715, 207.53144894321363)]"
Case-001,010,048,1,"[(206.1896273660979, 204.81521093285795)]"
Case-001,010,052,1,"[(202.93014175367114, 201.01247771836003)]"
Case-001,010,056,1,"[(183.64485188014595, 172.49197860962562), (198.5841609371021, 198.2962397080044)]"
Case-001,010,060,1,"[(203.47338935574228, 196.12324929971987), (219.7708174178763, 205.35845853492913)]"
Case-001,010,088,1,"[(238.78448349036583, 168.68924539512776)]"
Case-001,010,112,1,"[(204.01663695781338, 63.84245819539937)]"
Case-001,010,116,1,"[(199.3990323402088, 63.027586792292645)]"
Case-001,011,000,1,"[(189.62057550292838, 69.54655801714628)]"
Case-001,011,004,1,"[(188.80570409982175, 69.81818181818181)]"
Case-001,011,012,1,"[(193.9665563194975, 70.36142942025297)]"
Case-001,011,016,1,"[(191.79356591121297, 69.54655801714628)]"
Case-001,011,020,1,"[(192.60843731431967, 67.10194380782616)]"
Case-001,011,024,1,"[(187.99083269671505, 71.44792462439521)]"
Case-001,011,036,1,"[(195.32467532467533, 67.64519140989728)]"
Case-001,011,040,1,"[(192.06518971224853, 70.08980561921739)]"
Case-001,011,044,1,"[(192.06518971224853, 66.0154486036839)]"
Case-001,011,048,1,"[(182.55835667600374, 72.53441982853751), (227.3762838468721, 63.027586792292645)]"
Case-001,011,052,1,"[(186.9043374925727, 69.81818181818181)]"
Case-001,011,064,1,"[(193.9665563194975, 69.54655801714628)]"
Case-001,011,068,1,"[(193.69493251846197, 67.37356760886175)]"
Case-001,011,072,1,"[(188.26245649775055, 68.18843901196843)]"
Case-001,011,076,1,"[(183.64485188014595, 72.53441982853751)]"
Case-001,011,080,1,"[(196.41117052881765, 70.08980561921739)]"
Case-001,011,092,1,"[(185.8178422884305, 71.44792462439521)]"
Case-001,011,096,1,"[(191.25031830914182, 70.36142942025297)]"
Case-001,011,100,1,"[(186.36108989050163, 72.26279602750193)]"
Case-001,011,104,1,"[(182.01510907393265, 69.0033104150751), (223.5735506323741, 66.55869620575504)]"
Case-001,011,108,1,"[(185.54621848739498, 70.90467702232408)]"
Case-001,011,124,1,"[(180.92861386979038, 70.63305322128852), (221.12893642305414, 67.91681521093284)]"
Case-001,011,128,1,"[(180.11374246668365, 67.91681521093284), (217.5978270095917, 67.91681521093284)]"
Case-001,012,000,1,"[(145.88914353620237, 86.65885748238686)]"
Case-001,012,004,1,"[(155.12435277141157, 82.85612426788897), (117.36864442746794, 83.39937186996008)]"
Case-001,012,008,1,"[(126.6038536626772, 80.68313385960441), (155.93922417451827, 83.94261947203121)]"
Case-001,012,012,1,"[(165.71768101179867, 83.12774806892455), (127.14710126474834, 84.75749087513793)]"
Case-001,012,016,1,"[(127.69034886681943, 86.93048128342248), (172.50827603768784, 86.93048128342248)]"
Case-001,012,020,1,"[(167.89067142008318, 85.30073847720907), (240.68585009761483, 80.95475766064001), (127.4187250657839, 88.5602240896359)]"
Case-001,012,024,1,"[(240.68585009761483, 85.30073847720907), (133.93769629063743, 85.84398607928017), (159.74195738901625, 86.93048128342248)]"
Case-001,012,028,1,"[(129.59171547406842, 89.64671929377812), (158.11221458280286, 90.18996689584927), (237.96961208725912, 84.75749087513793)]"
Case-001,012,032,1,"[(159.19870978694507, 84.75749087513793), (236.6114930820813, 82.31287666581784), (128.2335964688906, 86.11560988031577)]"
Case-001,012,036,1,"[(127.4187250657839, 84.21424327306678), (232.53713606654782, 85.0291146761735), (164.9028096086919, 86.11560988031577)]"
Case-001,012,040,1,"[(127.96197266785504, 83.67099567099567), (170.3352856294033, 88.5602240896359), (235.79662167897462, 87.47372888549359)]"
Case-001,012,044,1,"[(129.04846787199725, 85.30073847720907), (170.3352856294033, 88.8318478906714)]"
Case-001,012,048,1,"[(163.8163144045497, 89.10347169170699), (239.87097869450807, 85.84398607928017), (129.863339275104, 85.84398607928017)]"
Case-001,012,052,1,"[(161.10007639419405, 89.37509549274252), (230.6357694592988, 84.48586707410237), (129.32009167303286, 82.58450046685343)]"
Case-001,012,056,1,"[(131.22145828028178, 83.67099567099567), (232.80875986758338, 83.39937186996008), (164.08793820558523, 87.74535268652919)]"
Case-001,012,060,1,"[(131.22145828028178, 85.84398607928017), (165.9893048128342, 88.5602240896359), (232.53713606654782, 85.0291146761735)]"
Case-001,012,064,1,"[(233.89525507172553, 91.27646209999149), (130.1349630761396, 90.18996689584927), (167.89067142008318, 90.7332144979204)]"
Case-001,012,068,1,"[(233.3520074696545, 83.12774806892455), (131.22145828028178, 88.8318478906714), (168.16229522111877, 96.16569051863169)]"
Case-001,012,072,1,"[(166.26092861386977, 94.5359477124183), (231.99388846447675, 84.75749087513793), (132.0363296833885, 88.01697648756469)]"
Case-001,012,076,1,"[(164.9028096086919, 89.91834309481368), (231.7222646634411, 86.65885748238686), (128.2335964688906, 87.20210508445801)]"
Case-001,012,080,1,"[(227.91953144894327, 86.93048128342248), (131.22145828028178, 90.18996689584927), (163.27306680247855, 88.01697648756469)]"
Case-001,012,084,1,"[(161.10007639419405, 86.11560988031577), (239.87097869450807, 83.39937186996008), (133.12282488753078, 86.11560988031577)]"
Case-001,012,088,1,"[(166.26092861386977, 80.95475766064001), (231.17901706137, 77.69527204821325), (129.863339275104, 85.0291146761735)]"
Case-001,012,092,1,"[(226.0181648416942, 80.13988625753332), (128.5052202699261, 88.8318478906714), (158.92708598590957, 85.0291146761735)]"
Case-001,012,096,1,"[(178.7556234615058, 78.7817672523555), (226.0181648416942, 81.2263814616756), (127.96197266785504, 85.84398607928017)]"
Case-001,012,100,1,"[(125.24573465749941, 82.58450046685343), (171.4217808335455, 83.94261947203121)]"
Case-001,012,104,1,"[(156.21084797555383, 83.12774806892455), (182.82998047703927, 77.42364824717772)]"
Case-001,012,108,1,"[(127.69034886681943, 84.48586707410237), (157.84059078176728, 82.58450046685343), (180.3853662677192, 79.86826245649773)]"
Case-001,012,112,1,"[(128.77684407096174, 86.65885748238686)]"
Case-001,012,116,1,"[(120.89975384093033, 82.85612426788897), (223.030303030303, 82.58450046685343)]"
Case-001,012,120,1,"[(154.852728970376, 87.74535268652919)]"
Case-001,012,124,1,"[(166.5325524149053, 83.39937186996008), (125.24573465749941, 87.47372888549359)]"
Case-001,012,128,1,"[(165.71768101179867, 85.57236227824464), (240.14260249554366, 80.68313385960441), (124.15923945335709, 86.11560988031577)]"
Case-001,013,000,1,"[(124.43086325439265, 80.68313385960441), (160.5568287921229, 88.28860028860028)]"
Case-001,013,004,1,"[(127.4187250657839, 81.2263814616756), (155.39597657244715, 84.75749087513793)]"
Case-001,013,008,1,"[(158.38383838383837, 87.74535268652919)]"
Case-001,013,012,1,"[(124.9741108564638, 83.12774806892455), (155.39597657244715, 86.11560988031577)]"
Case-001,013,016,1,"[(125.7889822595705, 80.95475766064001), (160.28520499108734, 90.7332144979204)]"
Case-001,013,020,1,"[(123.615991851286, 79.5966386554622), (157.84059078176728, 90.46159069688483)]"
Case-001,013,024,1,"[(121.71462524403697, 86.11560988031577), (157.0257193786605, 86.93048128342248)]"
Case-001,013,028,1,"[(123.615991851286, 93.72107630931163), (155.12435277141157, 88.01697648756469)]"
Case-001,013,032,1,"[(119.5416348357525, 96.70893812070283), (152.13649096002035, 93.44945250827605)]"
Case-001,013,036,1,"[(155.12435277141157, 90.46159069688483)]"
Case-001,013,040,1,"[(122.25787284610811, 94.80757151345384), (153.76623376623377, 94.80757151345384)]"
Case-001,013,044,1,"[(123.615991851286, 90.7332144979204), (153.49460996519815, 93.44945250827605), (163.27306680247855, 95.89406671759613)]"
Case-001,013,048,1,"[(118.72676343264577, 93.72107630931163), (157.5689669807317, 91.27646209999149)]"
Case-001,013,052,1,"[(121.71462524403697, 94.5359477124183), (152.95136236312706, 92.09133350309824)]"
Case-001,013,056,1,"[(150.23512435277138, 91.8197097020626), (162.18657159833626, 95.350819115525)]"
Case-001,013,060,1,"[(148.605381546558, 92.09133350309824), (159.47033358798063, 93.72107630931163)]"
Case-001,013,064,1,"[(150.23512435277138, 91.8197097020626), (161.37170019522955, 92.09133350309824)]"
Case-001,013,068,1,"[(149.69187675070023, 89.64671929377812), (161.91494779730075, 92.09133350309824)]"
Case-001,013,072,1,"[(122.52949664714369, 82.85612426788897), (151.32161955691365, 89.37509549274252), (162.18657159833626, 86.38723368135133)]"
Case-001,013,076,1,"[(126.87547746371276, 77.96689584924879), (150.77837195484258, 89.91834309481368), (160.28520499108734, 91.8197097020626)]"
Case-001,013,080,1,"[(119.5416348357525, 83.39937186996008), (157.29734317969613, 90.7332144979204)]"
Case-001,013,084,1,"[(152.13649096002035, 86.38723368135133)]"
Case-001,013,088,1,"[(145.6175197351668, 83.12774806892455), (158.11221458280286, 87.20210508445801)]"
Case-001,013,092,1,"[(114.10915881504118, 82.0412528647823), (150.23512435277138, 81.2263814616756), (213.7950937950938, 83.12774806892455)]"
Case-001,013,096,1,"[(116.82539682539682, 79.86826245649773), (149.4202529496647, 83.12774806892455)]"
Case-001,013,100,1,"[(118.18351583057468, 80.95475766064001), (161.64332399626514, 85.0291146761735)]"
Case-001,013,104,1,"[(117.9118920295391, 77.42364824717772), (159.19870978694507, 83.67099567099567)]"
Case-001,013,108,1,"[(116.01052542229012, 76.60877684407097), (160.5568287921229, 85.57236227824464)]"
Case-001,013,112,1,"[(116.28214922332569, 84.75749087513793), (155.66760037348266, 89.37509549274252)]"
Case-001,013,116,1,"[(116.55377302436123, 85.57236227824464), (157.0257193786605, 93.17782870724048)]"
Case-001,013,120,1,"[(150.506748153807, 91.27646209999149)]"
Case-001,013,124,1,"[(152.95136236312706, 98.33868092691623)]"
Case-001,013,128,1,"[(147.5188863424158, 98.33868092691623)]"
Case-001,014,000,1,"[(221.94380782616074, 63.5708343943638)]"
Case-001,014,004,1,"[(154.30948136830483, 71.17630082335963), (219.22756981580523, 73.62091503267972)]"
Case-001,014,008,1,"[(150.506748153807, 71.99117222646635), (227.10466004583645, 75.79390544096431)]"
Case-001,014,012,1,"[(149.4202529496647, 73.07766743060859), (221.40056022408962, 73.62091503267972)]"
Case-001,014,016,1,"[(154.852728970376, 70.90467702232408), (224.38842203548086, 73.62091503267972)]"
Case-001,014,020,1,"[(222.75867922926747, 73.89253883371529)]"
Case-001,014,024,1,"[(226.83303624480095, 73.07766743060859)]"
Case-001,014,028,1,"[(221.40056022408962, 72.53441982853751)]"
Case-001,014,032,1,"[(156.48247177658945, 70.90467702232408), (226.28978864272977, 74.707410236822)]"
Case-001,014,036,1,"[(154.30948136830483, 71.44792462439521), (229.54927425515666, 74.707410236822)]"
Case-001,014,040,1,"[(154.58110516934045, 71.99117222646635), (226.0181648416942, 76.33715304303536)]"
Case-001,014,044,1,"[(228.73440285204995, 75.52228163992869), (156.21084797555383, 73.07766743060859)]"
Case-001,014,048,1,"[(226.28978864272977, 72.80604362957305)]"
Case-001,014,052,1,"[(224.11679823444524, 75.52228163992869)]"
Case-001,014,056,1,"[(165.71768101179867, 69.81818181818181), (226.0181648416942, 72.80604362957305)]"
Case-001,014,060,1,"[(156.48247177658945, 70.90467702232408), (224.66004583651636, 75.25065783889315)]"
Case-001,014,064,1,"[(230.0925218572277, 73.62091503267972), (161.64332399626514, 71.71954842543079)]"
Case-001,014,068,1,"[(154.852728970376, 70.63305322128852), (228.73440285204995, 77.15202444614211)]"
Case-001,014,072,1,"[(158.65546218487398, 69.27493421611068), (225.20329343858754, 75.25065783889315)]"
Case-001,014,076,1,"[(229.00602665308554, 74.97903403785756)]"
Case-001,014,080,1,"[(228.1911552499788, 75.25065783889315)]"
Case-001,014,084,1,"[(227.10466004583645, 74.43578643578644), (162.7298192004074, 70.36142942025297)]"
Case-001,014,088,1,"[(162.45819539937185, 70.90467702232408), (231.4506408624056, 73.62091503267972)]"
Case-001,014,092,1,"[(157.5689669807317, 69.81818181818181), (229.00602665308554, 76.88040064510655)]"
Case-001,014,096,1,"[(160.82845259315846, 71.44792462439521), (228.73440285204995, 77.42364824717772)]"
Case-001,014,100,1,"[(228.73440285204995, 74.43578643578644)]"
Case-001,014,104,1,"[(228.73440285204995, 74.16416263475088)]"
Case-001,014,108,1,"[(227.10466004583645, 75.52228163992869)]"
Case-001,014,116,1,"[(229.54927425515666, 76.60877684407097)]"
Case-001,014,120,1,"[(230.6357694592988, 80.13988625753332)]"
Case-001,014,124,1,"[(229.27765045412102, 76.06552924199983)]"
Case-001,014,128,1,"[(231.4506408624056, 77.42364824717772)]"
Case-001,015,000,1,"[(161.10007639419405, 69.27493421611068), (214.88158899923604, 64.92895339954164)]"
Case-001,015,004,1,"[(167.34742381801203, 71.99117222646635)]"
Case-001,015,008,1,"[(163.001443001443, 68.73168661403957)]"
Case-001,015,012,1,"[(164.9028096086919, 63.299210593328255)]"
Case-001,015,016,1,"[(157.84059078176728, 64.3857057974705), (206.1896273660979, 68.73168661403957)]"
Case-001,015,020,1,"[(161.91494779730075, 65.2005772005772)]"
Case-001,015,024,1,"[(158.65546218487398, 67.64519140989728), (209.72073677956035, 70.08980561921739)]"
Case-001,015,028,1,"[(152.40811476105597, 70.90467702232408)]"
Case-001,015,036,1,"[(156.21084797555383, 68.18843901196843)]"
Case-001,015,040,1,"[(163.5446906035142, 66.0154486036839)]"
Case-001,015,044,1,"[(163.001443001443, 60.85459638400819)]"
Case-001,015,048,1,"[(162.7298192004074, 68.46006281300399)]"
Case-001,015,052,1,"[(159.47033358798063, 69.0033104150751)]"
Case-001,015,056,1,"[(150.77837195484258, 65.2005772005772)]"
Case-001,015,068,1,"[(162.45819539937185, 66.55869620575504)]"
Case-001,015,072,1,"[(161.10007639419405, 70.36142942025297), (196.13954672778206, 69.54655801714628)]"
Case-001,015,076,1,"[(161.10007639419405, 70.36142942025297)]"
Case-001,015,080,1,"[(163.5446906035142, 67.64519140989728)]"
Case-001,015,088,1,"[(161.10007639419405, 71.99117222646635)]"
Case-001,015,092,1,"[(166.8041762159409, 71.44792462439521), (218.95594601476952, 61.941091588150435)]"
Case-001,015,096,1,"[(161.37170019522955, 68.46006281300399), (253.45216874628636, 68.46006281300399)]"
Case-001,015,100,1,"[(158.65546218487398, 70.36142942025297), (212.16535098888042, 64.11408199643493), (250.46430693489512, 71.44792462439521)]"
Case-001,015,104,1,"[(155.93922417451827, 67.37356760886175), (208.36261777438247, 61.669467787114826), (248.83456412868176, 69.54655801714628)]"
Case-001,015,108,1,"[(154.03785756726936, 72.80604362957305), (248.56294032764626, 70.63305322128852)]"
Case-001,015,112,1,"[(157.5689669807317, 74.707410236822)]"
Case-001,015,116,1,"[(158.65546218487398, 70.36142942025297), (210.80723198370248, 60.85459638400819)]"
Case-001,015,120,1,"[(159.74195738901625, 69.27493421611068)]"
Case-001,015,124,1,"[(160.82845259315846, 71.17630082335963), (193.15168491639085, 65.2005772005772)]"
Case-015,001,008,1,"[(103.36318966727505, 53.32502903526349)]"
Case-015,001,020,1,"[(159.560144474366, 89.91839495615996)]"
Case-015,001,028,1,"[(156.16218906742566, 85.73629599377178)]"
Case-015,001,032,1,"[(154.33252077138084, 84.69077125317474)]"
Case-015,001,036,1,"[(154.59390195653012, 80.77005347593582), (207.65428254182996, 94.36187510369737)]"
Case-015,001,040,1,"[(145.44556047630596, 82.59972177198064), (202.68804002399392, 98.28259288093624)]"
Case-015,001,044,1,"[(143.87727336541047, 82.59972177198064), (192.75555498832216, 101.41916710272743)]"
Case-015,001,048,1,"[(140.2179367733207, 85.21353362347328), (189.61898076653102, 101.9419294730259)]"
Case-015,001,052,1,"[(143.6158921802611, 96.19154339974222), (165.83329291794823, 101.15778591757821)]"
Case-015,001,056,1,"[(140.2179367733207, 93.83911273339885)]"
Case-015,001,080,1,"[(119.56882314652916, 81.81557821653286)]"
Case-015,001,084,1,"[(118.26191722078288, 96.19154339974222), (154.59390195653012, 104.55574132451852)]"
Case-015,001,088,1,"[(114.60258062869322, 85.99767717892105)]"
Case-015,001,092,1,"[(117.47777366533512, 91.48668206705554)]"
Case-015,001,100,1,"[(128.1944022564548, 95.14601865914516)]"
Case-015,001,104,1,"[(129.50130818220106, 92.79358799280179)]"
Case-015,001,108,1,"[(127.9330210713055, 96.19154339974222)]"
Case-015,001,112,1,"[(130.02407055249958, 93.05496917795104)]"
Case-015,001,116,1,"[(130.02407055249958, 91.48668206705554)]"
Case-015,008,000,1,"[(147.54895990584137, 67.07693882250594)]"
Case-015,008,052,1,"[(149.38300539876676, 68.91098431543125)]"
Case-015,008,056,1,"[(152.5270833866387, 67.33894532149526)]"
Case-015,008,068,1,"[(231.65304608141648, 62.360821840697994)]"
Case-015,008,080,1,"[(160.1252718573293, 67.60095182048458), (231.39103958242708, 62.09881534170866)]"
Case-015,008,084,1,"[(160.38727835631863, 67.60095182048458)]"
Case-015,008,088,1,"[(160.91129135429728, 66.29091932553793)]"
Case-015,008,092,1,"[(162.2213238492439, 66.0289128265486), (180.56177877849706, 64.45687383261264)]"
Case-015,008,096,1,"[(162.2213238492439, 63.40884783665533), (181.87181127344374, 61.83680884271932)]"
Case-015,008,100,1,"[(179.25174628355043, 62.88483483867663)]"
Case-015,008,104,1,"[(230.6050200854592, 63.93286083463396)]"
Case-017,014,024,1,"[(133.69431262634228, 70.14849966308728)]"
Case-017,014,048,1,"[(129.877306418546, 68.09318862811999)]"
Case-017,014,088,1,"[(133.98792848848046, 67.79957276598185)]"
Case-017,014,092,1,"[(133.10708090206592, 67.79957276598185)]"
Case-017,014,116,1,"[(136.92408710986226, 66.33149345529097)]"
Case-022,019,008,1,"[(164.03942766295708, 73.02095678566266)]"
Case-022,019,096,1,"[(202.45145252204077, 74.78028616852144)]"
Case-022,025,088,1,"[(184.27171556583332, 70.08874114756468)]"
Case-022,025,092,1,"[(185.15138025726264, 69.79551958375487), (211.24809943633477, 67.15652550946668)]"
Case-022,025,096,1,"[(212.12776412776415, 67.15652550946668)]"
Case-022,025,108,1,"[(189.25648215059982, 66.2768608180373)]"
Case-027,017,124,1,"[(173.1854555664748, 67.00547522111468)]"
Case-027,017,128,1,"[(172.92489119752912, 65.70265337638632)]"
Case-027,017,132,1,"[(175.00940614909453, 66.22378211427765)]"
Case-027,017,148,1,"[(171.88263372174643, 69.61111891057139)]"
Case-027,017,152,1,"[(171.88263372174643, 67.26603959006036)]"
Case-028,017,080,1,"[(267.47889407213563, 36.38775742405279)]"
Case-028,017,148,1,"[(237.47047445670725, 42.7356923427011)]"
Case-028,017,152,1,"[(233.7194220047788, 44.46694732051426)]"
Case-028,018,000,1,"[(234.8735919899875, 45.33257480942088)]"
Case-028,018,004,1,"[(223.33189213789964, 47.06382978723404), (235.7392194788941, 40.71589486858573)]"
