case,clip,frame,wkt_geoms
Case-060,20,48,"['LINESTRING (34.35828877005347 22.56774822951294, 26.00267379679145 98.27847232258998)']"
Case-060,20,52,"['LINESTRING (34.22459893048127 22.45320855614973, 24.46524064171123 99.65294840294841)']"
Case-060,20,56,"['LINESTRING (33.55614973262033 23.36952594305535, 23.52941176470588 98.50755166931637)']"
Case-060,20,60,"['LINESTRING (34.09090909090909 22.33866888278653, 24.19786096256684 97.93485330250033)']"
Case-060,20,108,"['LINESTRING (34.89304812834224 23.02590692296575, 24.19786096256684 98.04939297586357)']"
Case-060,20,112,"['LINESTRING (39.17112299465241 24.05676398323457, 33.02139037433155 99.08025003613238)']"
Case-060,20,116,"['LINESTRING (35.56149732620322 23.36952594305535, 25.33422459893049 99.30932938285878)']"
Case-060,21,64,"['LINESTRING (26.93850267379678 22.68228790287613, 13.97058823529412 67.69637953461482)']"
Case-060,21,68,"['LINESTRING (26.8048128342246 23.14044659632895, 15.50802139037433 67.23822084116202)']"
Case-060,21,72,"['LINESTRING (27.072192513369 23.82768463650816, 16.10962566844919 61.39669749963868)']"
Case-060,21,92,"['LINESTRING (44.51871657754012 22.33866888278653, 44.25133689839572 83.84647347882644)']"
Case-060,22,84,"['LINESTRING (42.8475935828877 27.14933516404104, 38.77005347593583 94.84228212169387)']"
Case-060,22,100,"['LINESTRING (31.95187165775402 27.26387483740424, 16.51069518716578 99.423869056222)']"
Case-060,22,104,"['LINESTRING (30.21390374331552 28.40927157103627, 15.77540106951871 97.59123428241077)']"
Case-060,22,108,"['LINESTRING (30.68181818181819 28.86743026448909, 16.04278074866311 95.98767885532592)', 'LINESTRING (41.84491978609627 27.37841451076745, 38.50267379679143 95.4149804885099)']"
Case-060,22,112,"['LINESTRING (29.81283422459894 29.09650961121549, 15.90909090909091 97.59123428241077)', 'LINESTRING (42.11229946524064 27.95111287758346, 41.77807486631016 94.84228212169387)']"
Case-060,22,116,"['LINESTRING (43.58288770053475 26.80571614395144, 45.12032085561497 97.13307558895794)']"
Case-060,23,40,"['LINESTRING (48.46256684491979 33.334477525654, 52.87433155080213 93.81142506142506)']"
Case-060,23,44,"['LINESTRING (49.93315508021389 30.58552536493713, 53.94385026737967 98.16393264922674)']"
Case-060,23,48,"['LINESTRING (49.73262032085562 34.02171556583321, 54.61229946524065 99.08025003613238)']"
Case-060,23,52,"['LINESTRING (49.79946524064171 33.2199378522908, 53.81016042780747 98.50755166931637)']"
Case-060,23,56,"['LINESTRING (49.19786096256685 32.99085850556438, 54.07754010695187 95.64405983523629)']"
Case-060,23,60,"['LINESTRING (49.39839572192513 32.64723948547477, 54.87967914438503 95.87313918196271)']"
Case-060,23,64,"['LINESTRING (49.26470588235294 32.87631883220119, 55.3475935828877 97.36215493568436)']"
Case-060,23,68,"['LINESTRING (48.66310160427806 33.10539817892759, 52.40641711229947 98.16393264922674)']"
Case-060,23,72,"['LINESTRING (54.47860962566845 29.09650961121549, 69.51871657754009 98.96571036276916)']"
Case-060,23,80,"['LINESTRING (49.6657754010695 32.64723948547477, 55.74866310160427 95.4149804885099)']"
Case-060,23,108,"['LINESTRING (50.06684491978609 32.41816013874838, 56.68449197860963 97.01853591559473)']"
Case-060,23,112,"['LINESTRING (49.73262032085562 32.18908079202197, 57.68716577540107 99.08025003613238)']"
Case-060,23,116,"['LINESTRING (50 32.64723948547477, 57.1524064171123 96.33129787541552)']"
Case-060,24,4,"['LINESTRING (29.07754010695187 23.59860528978176, 10.6951871657754 95.87313918196271)']"
Case-060,24,8,"['LINESTRING (30.14705882352941 23.36952594305535, 10.22727272727273 98.62209134267957)']"
Case-060,24,28,"['LINESTRING (39.63903743315507 28.06565255094666, 33.02139037433155 99.88202774967479)']"
Case-060,24,32,"['LINESTRING (39.57219251336898 27.60749385749385, 33.42245989304813 97.82031362913716)']"
Case-060,24,36,"['LINESTRING (39.03743315508022 27.60749385749385, 33.62299465240641 99.65294840294841)']"
Case-060,24,40,"['LINESTRING (39.17112299465241 28.63835091776269, 33.22192513368984 99.76748807631159)']"
Case-060,24,44,"['LINESTRING (41.31016042780747 29.09650961121549, 37.16577540106952 99.30932938285878)']"
Case-060,24,48,"['LINESTRING (41.3770053475936 28.52381124439948, 37.03208556149733 99.30932938285878)']"
Case-060,24,56,"['LINESTRING (41.31016042780747 28.86743026448909, 36.43048128342246 98.16393264922674)']"
Case-060,24,68,"['LINESTRING (38.50267379679143 27.95111287758346, 31.21657754010695 98.16393264922674)']"
Case-060,26,0,"['LINESTRING (32.1524064171123 21.30781182251771, 16.64438502673797 98.16393264922674)']"
Case-060,26,4,"['LINESTRING (40.04010695187166 23.14044659632895, 35.6951871657754 97.13307558895794)']"
Case-060,26,8,"['LINESTRING (28.40909090909091 22.56774822951294, 9.224598930481283 95.87313918196271)', 'LINESTRING (33.08823529411764 21.88051018933372, 14.2379679144385 97.2476152623211)', 'LINESTRING (41.1096256684492 24.28584332996098, 38.77005347593583 98.04939297586357)']"
Case-060,26,12,"['LINESTRING (40.90909090909093 23.59860528978176, 38.30213903743315 98.27847232258998)']"
Case-060,26,16,"['LINESTRING (29.54545454545455 19.01701835525365, 10.09358288770053 96.90399624223153)', 'LINESTRING (44.98663101604279 27.83657320422027, 47.99465240641711 96.33129787541552)']"
Case-060,26,20,"['LINESTRING (30.81550802139037 23.36952594305535, 19.05080213903743 96.56037722214191)', 'LINESTRING (45.12032085561497 26.69117647058824, 46.05614973262033 98.62209134267957)']"
Case-060,26,24,"['LINESTRING (40.64171122994652 24.97308137014019, 38.03475935828877 97.13307558895794)']"
Case-060,26,28,"['LINESTRING (41.31016042780747 26.46209712386183, 37.83422459893048 98.73663101604275)']"
Case-060,26,32,"['LINESTRING (41.51069518716578 25.431240063593, 37.90106951871658 97.93485330250033)', 'LINESTRING (48.26203208556149 31.61638242520595, 51.67112299465241 95.64405983523629)']"
Case-060,26,36,"['LINESTRING (32.95454545454545 25.2021607168666, 21.52406417112299 96.90399624223153)', 'LINESTRING (40.90909090909093 27.26387483740423, 37.5 96.21675820205233)', 'LINESTRING (48.12834224598929 32.99085850556438, 49.86631016042781 96.67491689550516)']"
Case-060,26,40,"['LINESTRING (33.9572192513369 25.431240063593, 20.52139037433155 94.61320277496746)']"
Case-060,26,44,"['LINESTRING (34.49197860962567 30.12736667148432, 23.12834224598931 98.39301199595317)', 'LINESTRING (45.12032085561497 35.05257262610203, 47.79411764705882 96.10221852868911)']"
Case-060,26,48,"['LINESTRING (33.62299465240641 31.15822373175315, 23.66310160427808 96.90399624223153)', 'LINESTRING (44.85294117647059 34.36533458592282, 45.58823529411764 96.78945656886833)']"
Case-060,26,52,"['LINESTRING (33.8903743315508 30.12736667148432, 21.65775401069518 98.27847232258998)']"
Case-060,26,56,"['LINESTRING (33.08823529411764 29.89828732475792, 19.05080213903743 95.64405983523629)']"
Case-060,26,60,"['LINESTRING (33.8903743315508 29.89828732475792, 19.51871657754011 97.93485330250033)']"
Case-060,26,68,"['LINESTRING (32.95454545454545 24.74400202341379, 20.52139037433155 94.61320277496746)']"
Case-060,26,72,"['LINESTRING (33.28877005347594 24.85854169677699, 20.85561497326203 94.3841234282411)']"
Case-060,26,76,"['LINESTRING (32.88770053475936 27.83657320422027, 20.65508021390373 95.18590114178348)']"
Case-060,26,80,"['LINESTRING (33.82352941176471 25.88939875704582, 19.98663101604278 92.20786963434018)']"
Case-060,26,84,"['LINESTRING (33.8903743315508 26.34755745049863, 19.05080213903743 97.01853591559473)']"
Case-060,26,88,"['LINESTRING (32.35294117647059 26.46209712386183, 18.58288770053476 93.46780604133549)']"
Case-060,26,92,"['LINESTRING (33.42245989304813 26.23301777713542, 22.52673796791444 95.07136146842029)', 'LINESTRING (46.72459893048128 36.42704870646046, 49.59893048128342 96.44583754877874)']"
Case-060,26,96,"['LINESTRING (33.75668449197862 24.05676398323457, 21.45721925133689 95.87313918196271)', 'LINESTRING (40.64171122994652 26.46209712386183, 38.50267379679143 99.423869056222)', 'LINESTRING (47.79411764705882 37.8015247868189, 50.86898395721925 97.93485330250033)']"
Case-060,26,100,"['LINESTRING (32.48663101604279 27.26387483740423, 23.12834224598931 95.87313918196271)', 'LINESTRING (49.26470588235294 37.8015247868189, 50.40106951871659 96.33129787541552)']"
Case-060,26,108,"['LINESTRING (40.84224598930481 26.69117647058824, 40.37433155080213 99.423869056222)']"
Case-060,27,0,"['LINESTRING (28.94385026737968 18.44431998843763, 10.29411764705882 97.82031362913716)', 'LINESTRING (35.7620320855615 22.33866888278653, 25.0668449197861 99.30932938285878)']"
Case-060,27,4,"['LINESTRING (35.02673796791444 21.4223514958809, 24.33155080213904 98.73663101604275)']"
Case-060,27,8,"['LINESTRING (28.20855614973263 18.90247868189045, 8.622994652406417 95.98767885532592)', 'LINESTRING (34.55882352941175 21.88051018933372, 18.78342245989305 98.62209134267957)']"
Case-060,27,20,"['LINESTRING (26.60427807486631 59.79314207255384, 17.8475935828877 98.96571036276916)']"
Case-060,27,24,"['LINESTRING (26.27005347593584 57.73142795201619, 17.8475935828877 100.2256467697644)']"
Case-060,27,28,"['LINESTRING (26.53743315508022 58.41866599219541, 18.51604278074867 99.30932938285878)']"
Case-060,27,32,"['LINESTRING (26.06951871657754 56.47149154502096, 17.78074866310161 99.88202774967479)']"
Case-060,27,36,"['LINESTRING (25.53475935828877 55.55517415811534, 17.37967914438503 98.50755166931637)']"
Case-060,27,40,"['LINESTRING (26.06951871657754 57.04418991183697, 18.64973262032085 98.73663101604275)']"
Case-060,27,44,"['LINESTRING (26.40374331550802 58.18958664546896, 19.85294117647059 98.04939297586357)']"
Case-060,27,48,"['LINESTRING (27.13903743315508 61.51123717300189, 22.25935828877006 98.04939297586357)']"
Case-060,27,52,"['LINESTRING (30.21390374331552 20.04787541552248, 14.90641711229947 98.04939297586357)']"
Case-060,27,56,"['LINESTRING (28.40909090909091 18.78793900852724, 9.224598930481283 94.3841234282411)', 'LINESTRING (33.22192513368984 21.30781182251771, 19.51871657754011 94.84228212169387)']"
Case-060,27,60,"['LINESTRING (35.16042780748664 21.4223514958809, 26.27005347593584 99.08025003613238)']"
Case-060,27,64,"['LINESTRING (28.87700534759358 19.24609770198005, 13.16844919786096 98.16393264922674)']"
Case-060,27,68,"['LINESTRING (29.54545454545455 19.47517704870646, 12.90106951871657 97.59123428241077)']"
Case-060,27,72,"['LINESTRING (29.34491978609626 19.01701835525365, 13.03475935828877 95.07136146842029)', 'LINESTRING (35.6951871657754 20.96419280242809, 25.66844919786097 98.16393264922674)']"
Case-060,27,76,"['LINESTRING (34.02406417112299 19.81879606879607, 24.73262032085561 98.85117068940599)']"
Case-060,27,80,"['LINESTRING (28.27540106951873 19.24609770198005, 9.224598930481283 94.26958375487787)', 'LINESTRING (33.42245989304813 23.14044659632895, 20.12032085561497 96.67491689550516)']"
Case-060,27,96,"['LINESTRING (25.66844919786097 58.41866599219541, 18.31550802139037 98.39301199595317)']"
Case-060,27,100,"['LINESTRING (25.40106951871658 58.41866599219541, 17.8475935828877 97.59123428241077)']"
Case-060,27,104,"['LINESTRING (25.93582887700534 57.15872958520018, 17.98128342245989 98.96571036276916)']"
Case-060,27,108,"['LINESTRING (26.40374331550802 56.47149154502096, 17.58021390374332 98.50755166931637)']"
Case-060,27,112,"['LINESTRING (25.46791443850267 57.27326925856339, 17.98128342245989 98.73663101604275)']"
Case-060,28,0,"['LINESTRING (52.74064171122996 24.17130365659777, 66.04278074866312 98.16393264922674)']"
Case-060,28,4,"['LINESTRING (53.14171122994652 24.97308137014019, 65.57486631016042 97.47669460904757)', 'LINESTRING (43.18181818181818 22.79682757623934, 40.77540106951873 95.52952016187307)']"
Case-060,28,8,"['LINESTRING (52.67379679144385 24.40038300332418, 63.77005347593582 98.04939297586357)']"
Case-060,28,12,"['LINESTRING (44.38502673796791 23.02590692296575, 46.79144385026738 96.90399624223153)', 'LINESTRING (52.47326203208556 24.40038300332418, 63.63636363636363 96.56037722214191)']"
Case-060,28,16,"['LINESTRING (45.52139037433155 22.45320855614973, 44.45187165775402 101.0274244833068)']"
Case-060,28,24,"['LINESTRING (56.95187165775402 23.59860528978176, 73.19518716577539 97.70577395577395)']"
Case-060,28,32,"['LINESTRING (52.67379679144385 26.92025581731464, 64.6390374331551 98.50755166931637)']"
Case-060,28,36,"['LINESTRING (45.72192513368984 23.14044659632895, 48.32887700534758 96.90399624223153)', 'LINESTRING (55.74866310160427 24.28584332996098, 70.65508021390374 98.73663101604275)']"
Case-060,28,40,"['LINESTRING (42.51336898395722 22.45320855614973, 41.44385026737967 99.423869056222)']"
Case-060,28,44,"['LINESTRING (43.38235294117646 23.25498626969215, 44.18449197860964 97.36215493568436)']"
Case-060,28,48,"['LINESTRING (44.31818181818182 23.36952594305535, 45.72192513368984 97.59123428241077)']"
Case-060,28,52,"['LINESTRING (43.64973262032086 23.02590692296575, 45.25401069518718 99.30932938285878)']"
Case-060,28,56,"['LINESTRING (42.44652406417112 23.82768463650816, 41.1096256684492 97.70577395577395)', 'LINESTRING (55.88235294117647 24.05676398323457, 72.99465240641713 98.16393264922674)']"
Case-060,28,60,"['LINESTRING (44.9197860962567 23.25498626969215, 47.12566844919787 99.65294840294841)', 'LINESTRING (53.5427807486631 24.05676398323457, 67.31283422459892 98.50755166931637)']"
Case-060,28,64,"['LINESTRING (44.51871657754012 23.14044659632895, 50 98.39301199595317)']"
Case-060,28,68,"['LINESTRING (43.38235294117646 22.68228790287613, 43.64973262032086 97.13307558895794)']"
Case-060,28,72,"['LINESTRING (42.98128342245988 21.99504986269692, 40.975935828877 98.27847232258998)']"
Case-060,28,76,"['LINESTRING (42.8475935828877 22.91136724960255, 41.24331550802138 97.01853591559473)']"
Case-060,28,80,"['LINESTRING (43.11497326203209 22.56774822951294, 39.90641711229946 95.75859950859949)', 'LINESTRING (52.60695187165777 24.97308137014019, 64.37165775401068 96.78945656886833)']"
Case-060,28,84,"['LINESTRING (41.91176470588237 22.22412920942333, 38.43582887700534 101.2565038300332)']"
Case-060,28,92,"['LINESTRING (45.25401069518718 21.65143084260731, 46.12299465240643 98.16393264922674)']"
Case-060,28,104,"['LINESTRING (43.91711229946525 21.07873247579129, 42.78074866310158 95.64405983523629)']"
Case-060,28,108,"['LINESTRING (44.25133689839572 22.91136724960255, 44.58556149732622 94.72774244833066)', 'LINESTRING (53.20855614973263 23.82768463650816, 64.43850267379678 97.93485330250033)']"
Case-060,28,112,"['LINESTRING (43.04812834224598 21.88051018933372, 39.63903743315507 97.13307558895794)', 'LINESTRING (54.34491978609627 23.48406561641857, 70.0534759358289 99.30932938285878)']"
Case-060,28,116,"['LINESTRING (43.58288770053475 22.45320855614973, 43.18181818181818 98.73663101604275)']"
Case-060,29,0,"['LINESTRING (37.5 17.87162162162162, 27.47326203208556 97.82031362913716)']"
Case-060,29,4,"['LINESTRING (33.8903743315508 17.98616129498483, 20.38770053475937 98.50755166931637)']"
Case-060,29,8,"['LINESTRING (33.28877005347594 18.90247868189045, 18.71657754010695 97.82031362913716)']"
Case-060,29,16,"['LINESTRING (47.25935828877006 27.83657320422027, 53.81016042780747 98.27847232258998)']"
Case-060,29,20,"['LINESTRING (32.4197860962567 18.55885966180083, 15.30748663101604 97.36215493568436)', 'LINESTRING (47.72727272727273 28.40927157103627, 53.27540106951871 98.27847232258998)']"
Case-060,29,24,"['LINESTRING (35.42780748663102 18.21524064171123, 21.99197860962567 98.85117068940599)']"
Case-060,29,32,"['LINESTRING (32.68716577540106 16.955304234716, 13.16844919786096 98.27847232258998)']"
Case-060,29,36,"['LINESTRING (38.50267379679143 19.58971672206966, 31.08288770053476 96.90399624223153)']"
Case-060,29,48,"['LINESTRING (33.15508021390374 17.87162162162162, 17.51336898395722 97.2476152623211)', 'LINESTRING (36.89839572192513 20.62057378233849, 28.14171122994653 96.67491689550516)']"
Case-060,29,60,"['LINESTRING (32.55347593582889 18.55885966180083, 14.90641711229947 97.93485330250033)']"
Case-060,29,64,"['LINESTRING (35.62834224598931 19.36063737534325, 24.26470588235294 98.96571036276916)']"
Case-060,29,72,"['LINESTRING (37.5 19.81879606879607, 30.3475935828877 97.13307558895794)']"
Case-060,29,88,"['LINESTRING (33.9572192513369 17.64254227489521, 15.90909090909091 96.44583754877874)']"
Case-060,29,92,"['LINESTRING (38.36898395721926 19.81879606879607, 32.68716577540106 97.70577395577395)']"
Case-060,29,100,"['LINESTRING (35.82887700534759 18.90247868189045, 23.86363636363637 97.01853591559473)']"
Case-060,29,104,"['LINESTRING (35.22727272727273 17.98616129498483, 22.19251336898396 98.16393264922674)']"
Case-060,29,108,"['LINESTRING (33.08823529411764 16.49714554126319, 19.78609625668449 98.16393264922674)', 'LINESTRING (36.89839572192513 20.04787541552248, 26.40374331550802 97.13307558895794)']"
Case-060,29,116,"['LINESTRING (36.49732620320857 19.13155802861685, 28.47593582887701 96.44583754877874)']"
Case-060,30,0,"['LINESTRING (31.55080213903743 24.40038300332418, 23.99732620320855 96.90399624223153)', 'LINESTRING (42.51336898395722 21.88051018933372, 41.51069518716578 100.2256467697644)']"
Case-060,30,4,"['LINESTRING (31.55080213903743 23.25498626969215, 16.77807486631016 99.30932938285878)', 'LINESTRING (35.96256684491978 22.79682757623934, 27.20588235294118 99.5384087295852)']"
Case-060,30,8,"['LINESTRING (31.61764705882353 25.431240063593, 15.30748663101604 98.73663101604275)', 'LINESTRING (35.56149732620322 22.68228790287613, 23.46256684491978 96.90399624223153)']"
Case-060,30,12,"['LINESTRING (35.7620320855615 23.36952594305535, 27.13903743315508 98.16393264922674)']"
Case-060,30,16,"['LINESTRING (34.75935828877006 23.14044659632895, 22.79411764705882 97.47669460904757)']"
Case-060,30,20,"['LINESTRING (35.29411764705883 23.59860528978176, 23.72994652406416 99.30932938285878)']"
Case-060,30,28,"['LINESTRING (30.94919786096257 23.82768463650816, 14.70588235294118 96.90399624223153)', 'LINESTRING (35.82887700534759 22.68228790287613, 26.8048128342246 98.04939297586357)']"
Case-060,30,32,"['LINESTRING (30.74866310160428 23.59860528978176, 14.97326203208556 98.62209134267957)', 'LINESTRING (36.29679144385026 23.36952594305535, 25.40106951871658 99.30932938285878)', 'LINESTRING (44.38502673796791 22.68228790287613, 48.79679144385027 97.2476152623211)']"
Case-060,30,36,"['LINESTRING (30.3475935828877 23.94222430987137, 13.83689839572192 98.04939297586357)', 'LINESTRING (35.56149732620322 23.02590692296575, 23.66310160427808 98.62209134267957)', 'LINESTRING (45.12032085561497 22.10958953606013, 47.99465240641711 98.39301199595317)']"
Case-060,30,40,"['LINESTRING (30.81550802139037 24.05676398323457, 16.51069518716578 97.59123428241077)', 'LINESTRING (43.91711229946525 21.53689116924411, 47.39304812834224 98.27847232258998)']"
Case-060,30,44,"['LINESTRING (35.22727272727273 23.48406561641857, 24.46524064171123 98.39301199595317)']"
Case-060,30,48,"['LINESTRING (34.55882352941175 24.05676398323457, 22.86096256684492 97.13307558895794)']"
Case-060,30,52,"['LINESTRING (35.16042780748664 22.68228790287613, 22.32620320855615 98.96571036276916)']"
Case-060,30,56,"['LINESTRING (34.02406417112299 22.91136724960255, 23.32887700534759 97.82031362913716)']"
Case-060,30,60,"['LINESTRING (33.8903743315508 24.74400202341379, 20.85561497326203 97.36215493568436)']"
Case-060,30,64,"['LINESTRING (33.48930481283422 25.2021607168666, 21.25668449197861 98.16393264922674)']"
Case-060,30,80,"['LINESTRING (30.01336898395722 23.71314496314497, 11.29679144385027 96.78945656886833)', 'LINESTRING (33.9572192513369 21.99504986269692, 21.25668449197861 99.5384087295852)']"
Case-060,30,84,"['LINESTRING (30.68181818181819 24.17130365659777, 15.10695187165775 96.67491689550516)', 'LINESTRING (35.16042780748664 22.56774822951294, 26.13636363636364 97.82031362913716)', 'LINESTRING (43.78342245989306 22.10958953606013, 47.72727272727273 98.04939297586357)', 'LINESTRING (48.86363636363637 21.53689116924411, 58.89037433155081 97.36215493568436)']"
Case-060,30,88,"['LINESTRING (30.48128342245989 26.00393843040901, 18.58288770053476 95.30044081514669)']"
Case-060,30,92,"['LINESTRING (30.01336898395722 26.00393843040901, 12.70053475935829 98.85117068940599)', 'LINESTRING (35.42780748663102 23.36952594305535, 23.1951871657754 99.30932938285878)', 'LINESTRING (46.05614973262033 23.14044659632895, 47.72727272727273 98.16393264922674)']"
Case-060,30,100,"['LINESTRING (32.62032085561498 25.08762104350338, 19.91978609625668 98.96571036276916)']"
Case-061,15,4,"['LINESTRING (40.44117647058824 14.66451076745195, 37.29946524064171 83.27377511201041)', 'LINESTRING (44.38502673796791 12.25917762682468, 44.11764705882354 84.64825119236885)', 'LINESTRING (47.39304812834224 12.37371730018788, 59.15775401069517 77.31771209712386)', 'LINESTRING (48.93048128342245 12.25917762682468, 61.69786096256682 74.11060124295419)']"
Case-061,15,8,"['LINESTRING (38.83689839572193 14.89359011417835, 34.75935828877006 85.22094955918485)', 'LINESTRING (47.19251336898397 11.91555860673507, 55.4812834224599 78.80672785084548)', 'LINESTRING (48.66310160427806 11.68647926000867, 60.09358288770053 78.34856915739269)']"
Case-061,15,12,"['LINESTRING (47.12566844919787 12.25917762682468, 53.07486631016043 87.51174302644891)', 'LINESTRING (49.19786096256685 11.22832056655586, 58.68983957219253 84.53371151900562)']"
Case-061,15,16,"['LINESTRING (47.79411764705882 11.91555860673507, 52.87433155080213 89.57345714698656)']"
Case-061,15,20,"['LINESTRING (45.92245989304812 12.71733632027749, 50.80213903743316 88.4280604133545)', 'LINESTRING (48.06149732620321 11.68647926000867, 56.48395721925136 86.02272727272728)']"
Case-061,15,24,"['LINESTRING (47.19251336898397 12.48825697355109, 56.68449197860963 83.96101315218959)']"
Case-061,15,28,"['LINESTRING (47.79411764705882 11.68647926000867, 59.49197860962568 85.90818759936407)']"
Case-061,15,32,"['LINESTRING (47.92780748663102 11.11378089319266, 56.21657754010696 84.19009249891604)']"
Case-061,15,36,"['LINESTRING (48.46256684491979 11.80101893337187, 57.62032085561497 85.56456857927446)']"
Case-061,15,40,"['LINESTRING (46.92513368983957 12.48825697355109, 56.01604278074864 95.07136146842029)', 'LINESTRING (48.93048128342245 10.65562219973985, 62.23262032085562 98.27847232258998)']"
Case-061,15,44,"['LINESTRING (48.19518716577541 11.91555860673507, 58.82352941176471 88.31352073999132)']"
Case-061,15,60,"['LINESTRING (45.45454545454546 11.68647926000867, 51.13636363636363 87.39720335308571)']"
Case-061,15,64,"['LINESTRING (48.19518716577541 11.22832056655586, 65.90909090909091 86.48088596618011)']"
Case-061,15,68,"['LINESTRING (38.63636363636363 15.12266946090476, 30.21390374331552 84.99187021245847)', 'LINESTRING (47.79411764705882 11.22832056655586, 57.62032085561497 86.25180661945369)']"
Case-061,15,72,"['LINESTRING (47.45989304812833 10.08292383292383, 56.01604278074864 82.93015609192082)']"
Case-061,15,84,"['LINESTRING (48.19518716577541 10.54108252637664, 57.48663101604278 81.7847593582888)']"
Case-061,15,88,"['LINESTRING (47.86096256684493 11.91555860673507, 53.74331550802138 91.29155224743461)']"
Case-061,16,0,"['LINESTRING (41.44385026737967 12.37371730018788, 34.55882352941175 98.73663101604275)', 'LINESTRING (48.32887700534758 13.17549501373031, 61.56417112299465 98.62209134267957)']"
Case-061,16,4,"['LINESTRING (41.91176470588237 12.03009828009828, 34.35828877005347 97.2476152623211)', 'LINESTRING (44.11764705882354 12.14463795346148, 40.57486631016043 98.85117068940599)', 'LINESTRING (46.59090909090908 12.14463795346148, 48.19518716577541 98.16393264922674)', 'LINESTRING (48.59625668449198 13.97727272727273, 62.03208556149733 98.62209134267957)']"
Case-061,16,8,"['LINESTRING (44.11764705882354 12.48825697355109, 40.30748663101603 98.16393264922674)']"
Case-061,16,12,"['LINESTRING (42.8475935828877 12.48825697355109, 41.64438502673796 97.13307558895794)']"
Case-061,16,16,"['LINESTRING (41.44385026737967 11.22832056655586, 40.84224598930481 98.62209134267957)', 'LINESTRING (44.31818181818182 12.37371730018788, 48.46256684491979 98.73663101604275)']"
Case-061,16,20,"['LINESTRING (43.44919786096257 11.80101893337187, 44.31818181818182 97.93485330250033)']"
Case-061,16,24,"['LINESTRING (43.64973262032086 11.91555860673507, 43.11497326203209 98.27847232258998)']"
Case-061,16,28,"['LINESTRING (42.51336898395722 12.03009828009828, 40.64171122994652 96.67491689550516)', 'LINESTRING (45.18716577540106 13.0609553403671, 48.52941176470588 98.16393264922674)']"
Case-061,16,32,"['LINESTRING (42.8475935828877 11.45739991328226, 41.84491978609627 97.01853591559473)', 'LINESTRING (46.59090909090908 12.14463795346148, 55.54812834224598 97.47669460904757)']"
Case-061,16,36,"['LINESTRING (43.11497326203209 11.57193958664547, 41.57754010695189 97.47669460904757)', 'LINESTRING (45.92245989304812 12.9464156670039, 55.01336898395722 97.01853591559473)']"
Case-061,16,40,"['LINESTRING (44.05080213903743 11.68647926000867, 43.91711229946525 97.36215493568436)', 'LINESTRING (47.86096256684493 13.0609553403671, 64.43850267379678 98.04939297586357)']"
Case-061,16,44,"['LINESTRING (43.71657754010694 12.03009828009828, 43.64973262032086 98.73663101604275)', 'LINESTRING (47.66042780748664 14.32089174736234, 63.50267379679143 96.56037722214191)']"
Case-061,16,48,"['LINESTRING (41.64438502673796 11.68647926000867, 38.23529411764706 98.62209134267957)', 'LINESTRING (44.31818181818182 12.8318759936407, 44.05080213903743 99.08025003613238)', 'LINESTRING (46.3903743315508 13.17549501373031, 55.94919786096254 98.62209134267957)', 'LINESTRING (48.72994652406418 14.66451076745195, 63.77005347593582 91.52063159416099)']"
Case-061,16,52,"['LINESTRING (43.24866310160429 11.91555860673507, 37.83422459893048 98.62209134267957)', 'LINESTRING (44.78609625668449 11.91555860673507, 43.58288770053475 98.27847232258998)']"
Case-061,16,56,"['LINESTRING (43.58288770053475 12.37371730018788, 44.31818181818182 98.50755166931637)', 'LINESTRING (49.19786096256685 15.12266946090476, 63.63636363636363 94.84228212169387)']"
Case-061,16,60,"['LINESTRING (42.91443850267378 12.6027966469143, 45.98930481283422 99.08025003613238)']"
Case-061,16,64,"['LINESTRING (43.38235294117646 12.14463795346148, 41.57754010695189 97.13307558895794)', 'LINESTRING (46.3235294117647 12.8318759936407, 46.72459893048128 97.82031362913716)', 'LINESTRING (49.73262032085562 14.54997109408874, 62.03208556149733 95.98767885532592)']"
Case-061,16,68,"['LINESTRING (42.98128342245988 11.68647926000867, 41.71122994652406 97.93485330250033)', 'LINESTRING (46.12299465240643 12.25917762682468, 48.06149732620321 98.62209134267957)', 'LINESTRING (49.73262032085562 14.54997109408874, 64.03743315508021 98.27847232258998)']"
Case-061,16,72,"['LINESTRING (40.50802139037434 13.51911403381992, 31.48395721925133 100.2256467697644)', 'LINESTRING (44.58556149732622 12.14463795346148, 44.78609625668449 98.39301199595317)', 'LINESTRING (50.13368983957219 14.54997109408874, 61.29679144385026 96.67491689550516)']"
Case-061,16,76,"['LINESTRING (42.98128342245988 12.71733632027749, 42.11229946524064 97.93485330250033)', 'LINESTRING (46.79144385026738 12.71733632027749, 48.59625668449198 97.2476152623211)']"
Case-061,16,80,"['LINESTRING (41.64438502673796 12.9464156670039, 42.5802139037433 97.93485330250033)', 'LINESTRING (45.18716577540106 12.6027966469143, 49.26470588235294 99.08025003613238)']"
Case-061,16,84,"['LINESTRING (44.18449197860964 12.71733632027749, 49.86631016042781 96.67491689550516)']"
Case-061,16,88,"['LINESTRING (42.04545454545455 12.14463795346148, 47.12566844919787 98.39301199595317)', 'LINESTRING (45.78877005347593 12.71733632027749, 50.93582887700535 98.62209134267957)', 'LINESTRING (49.59893048128342 14.66451076745195, 62.90106951871658 97.70577395577395)']"
Case-061,16,92,"['LINESTRING (44.05080213903743 11.80101893337187, 46.05614973262033 98.73663101604275)', 'LINESTRING (49.26470588235294 14.66451076745195, 63.23529411764706 98.04939297586357)']"
